Geneid	Chr	Start	End	Strand	Length
gene-LOC100116271	NC_045759.1	21082219	21127986	-	45768
gene-LCCH3	NC_045759.1	21105173	21119671	+	14499
gene-LOC103315581	NC_045759.1	21123523	21127071	-	3549
gene-LOC100116421	NC_045759.1	21128121	21132500	+	4380
gene-LOC116416969	NC_045759.1	21128737	21129012	-	276
gene-LOC100116455	NC_045759.1	21133728	21138889	+	5162
gene-LOC100116491	NC_045759.1	21139881	21143554	+	3674
gene-LOC116416968	NC_045759.1	21144509	21148863	+	4355
gene-LOC100116526	NC_045759.1	21148972	21164782	+	15811
gene-LOC100116588	NC_045759.1	21176692	21205072	+	28381
gene-LOC100116629	NC_045759.1	21205389	21270561	-	65173
gene-LOC100679662	NC_045759.1	21252874	21255230	-	2357
gene-LOC100116665	NC_045759.1	21275431	21281708	+	6278
gene-LOC100679725	NC_045759.1	21281895	21284418	+	2524
gene-LOC100116776	NC_045759.1	21287026	21296113	+	9088
gene-LOC100116807	NC_045759.1	21296684	21299302	+	2619
gene-LOC100678101	NC_045759.1	21300966	21309025	-	8060
gene-LOC103315583	NC_045759.1	21307193	21308554	+	1362
gene-LOC100116985	NC_045759.1	21308943	21310300	-	1358
gene-LOC100117020	NC_045759.1	21310095	21312276	+	2182
gene-LOC100117063	NC_045759.1	21312741	21316653	+	3913
gene-LOC103315597	NC_045759.1	21316933	21320638	+	3706
gene-LOC100117136	NC_045759.1	21320771	21325861	+	5091
gene-LOC100678135	NC_045759.1	21326537	21328386	-	1850
gene-LOC100113692	NC_045759.1	21328386	21329086	+	701
gene-LOC100117211	NC_045759.1	21328972	21331235	-	2264
gene-LOC100680073	NC_045759.1	21331565	21335083	-	3519
gene-LOC100117286	NC_045759.1	21335194	21337411	+	2218
gene-LOC100117329	NC_045759.1	21364884	21373459	+	8576
gene-LOC100117363	NC_045759.1	21378175	21388507	+	10333
gene-LOC100680202	NC_045759.1	21388700	21394948	-	6249
gene-LOC100117427	NC_045759.1	21396048	21399406	+	3359
gene-LOC100117471	NC_045759.1	21399568	21405548	-	5981
gene-LOC100117514	NC_045759.1	21415113	21432278	-	17166
gene-LOC100117553	NC_045759.1	21435155	21446444	-	11290
gene-Ndufa9	NC_045759.1	21448219	21450353	+	2135
gene-LOC100117638	NC_045759.1	21452203	21459873	+	7671
gene-LOC100117675	NC_045759.1	21460700	21466370	+	5671
gene-LOC100117718	NC_045759.1	21466306	21471436	-	5131
gene-LOC100117755	NC_045759.1	21471674	21476325	-	4652
gene-LOC100117794	NC_045759.1	21476877	21549241	-	72365
gene-LOC100117871	NC_045759.1	21549321	21551818	+	2498
gene-LOC100117911	NC_045759.1	21551334	21555750	-	4417
gene-LOC100117948	NC_045759.1	21556631	21563122	+	6492
gene-LOC107980865	NC_045759.1	21563619	21565855	+	2237
gene-LOC100680523	NC_045759.1	21566348	21567914	-	1567
gene-Ndufb9	NC_045759.1	21568048	21570794	-	2747
gene-LOC100216457	NC_045759.1	21568789	21571235	+	2447
gene-LOC100118097	NC_045759.1	21570588	21573754	+	3167
gene-Ndufa4	NC_045759.1	21573960	21574816	+	857
gene-LOC100118134	NC_045759.1	21575052	21577019	+	1968
gene-Vps16a	NC_045759.1	21576880	21580876	-	3997
gene-LOC100118209	NC_045759.1	21583452	21600540	-	17089
gene-LOC116738533	NC_045759.1	21587857	21591359	-	3503
gene-LOC100118238	NC_045759.1	21600997	21604181	+	3185
gene-LOC100118277	NC_045759.1	21603970	21608469	-	4500
gene-LOC100118352	NC_045759.1	21606047	21619766	-	13720
gene-LOC100118427	NC_045759.1	21612467	21629169	+	16703
gene-LOC100118390	NC_045759.1	21621159	21624942	+	3784
gene-LOC100118465	NC_045759.1	21630073	21641842	-	11770
gene-LOC100678672	NC_045759.1	21650857	21677675	-	26819
gene-LOC100233152	NC_045759.1	21652655	21681414	+	28760
gene-LOC100118575	NC_045759.1	21681377	21682796	-	1420
gene-LOC100118611	NC_045759.1	21684950	21687111	+	2162
gene-LOC100118647	NC_045759.1	21687258	21692275	+	5018
gene-LOC100677914	NC_045759.1	21692731	21697308	-	4578
gene-LOC100678741	NC_045759.1	21694356	21696203	+	1848
gene-LOC100118685	NC_045759.1	21697283	21706284	+	9002
gene-LOC100118727	NC_045759.1	21707054	21709807	-	2754
gene-LOC100678779	NC_045759.1	21709760	21711303	+	1544
gene-LOC100118801	NC_045759.1	21710990	21717259	-	6270
gene-LOC100678917	NC_045759.1	21711537	21724299	+	12763
gene-LOC100118872	NC_045759.1	21717920	21721202	-	3283
gene-LOC100113807	NC_045759.1	21724188	21726131	-	1944
gene-LOC100118980	NC_045759.1	21726262	21739127	+	12866
gene-LOC100113839	NC_045759.1	21739303	21741276	-	1974
gene-Cnpy2	NC_045759.1	21741929	21743223	+	1295
gene-Imd	NC_045759.1	21743117	21744248	-	1132
gene-LOC100119053	NC_045759.1	21744431	21747283	-	2853
gene-LOC100119086	NC_045759.1	21747216	21752877	+	5662
gene-LOC100113908	NC_045759.1	21752642	21755105	-	2464
gene-LOC100119121	NC_045759.1	21755139	21758460	+	3322
gene-LOC100119155	NC_045759.1	21758447	21762797	-	4351
gene-LOC100119195	NC_045759.1	21762995	21765401	-	2407
gene-LOC100119232	NC_045759.1	21765443	21774336	+	8894
gene-LOC100119308	NC_045759.1	21775010	21777001	-	1992
gene-LOC100113938	NC_045759.1	21777109	21778409	-	1301
gene-Abtb2	NC_045759.1	21779517	21787449	+	7933
gene-LOC100119371	NC_045759.1	21786026	21790310	-	4285
gene-LOC100119402	NC_045759.1	21790414	21797625	+	7212
gene-LOC100119444	NC_045759.1	21798915	21809378	+	10464
gene-LOC100119476	NC_045759.1	21809941	21814012	-	4072
gene-LOC100119507	NC_045759.1	21814643	21830226	-	15584
gene-LOC100119575	NC_045759.1	21851346	21925368	+	74023
gene-LOC100119615	NC_045759.1	21925443	21928019	-	2577
gene-LOC100216459	NC_045759.1	21928035	21930915	+	2881
gene-LOC100119691	NC_045759.1	21932661	21934923	-	2263
gene-Or2	NC_045759.1	21934936	21936939	+	2004
gene-Or3	NC_045759.1	21937831	21939536	+	1706
gene-LOC100119851	NC_045759.1	21940312	21946308	-	5997
gene-LOC100119885	NC_045759.1	21946485	21959059	-	12575
gene-LOC100119919	NC_045759.1	21969130	21982899	-	13770
gene-LOC100119949	NC_045759.1	21983494	21990161	-	6668
gene-LOC100119977	NC_045759.1	21999364	22003164	+	3801
gene-LOC100120011	NC_045759.1	22003165	22006942	-	3778
gene-LOC100114008	NC_045759.1	22007119	22008809	-	1691
gene-LOC100120044	NC_045759.1	22008448	22009796	+	1349
gene-LOC100679288	NC_045759.1	22009640	22015545	-	5906
gene-LOC100120113	NC_045759.1	22015873	22018451	+	2579
gene-LOC100120146	NC_045759.1	22019303	22022903	+	3601
gene-LOC100679314	NC_045759.1	22021212	22024452	-	3241
gene-LOC103315587	NC_045759.1	22024464	22045435	+	20972
gene-LOC100120198	NC_045759.1	22026330	22031332	-	5003
gene-LOC100120231	NC_045759.1	22041702	22130083	-	88382
gene-LOC107980934	NC_045759.1	22046856	22047318	+	463
gene-LOC100120283	NC_045759.1	22161301	22205625	-	44325
gene-LOC103315588	NC_045759.1	22209307	22230774	-	21468
gene-LOC100679033	NC_045759.1	22214054	22247366	+	33313
gene-LOC100120371	NC_045759.1	22253921	22306698	-	52778
gene-LOC100120425	NC_045759.1	22306894	22315134	+	8241
gene-LOC100114041	NC_045759.1	22307229	22317266	-	10038
gene-LOC100679202	NC_045759.1	22315301	22325530	+	10230
gene-LOC100679412	NC_045759.1	22324028	22327208	-	3181
gene-CYP4G43	NC_045759.1	22327308	22331420	-	4113
gene-LOC100120553	NC_045759.1	22332981	22346468	+	13488
gene-LOC103315589	NC_045759.1	22336481	22343049	-	6569
gene-LOC100679293	NC_045759.1	22346569	22408172	-	61604
gene-LOC100679319	NC_045759.1	22408246	22411728	+	3483
gene-LOC100120648	NC_045759.1	22424296	22446911	+	22616
gene-LOC100120673	NC_045759.1	22446857	22462598	-	15742
gene-Cyb561d1-like	NC_045759.1	22462786	22469102	+	6317
gene-LOC100120713	NC_045759.1	22469937	22477878	-	7942
gene-LOC100120731	NC_045759.1	22480934	22487400	+	6467
gene-LOC100120756	NC_045759.1	22487017	22488947	-	1931
gene-LOC100120780	NC_045759.1	22491398	22506889	+	15492
gene-LOC100120803	NC_045759.1	22507508	22511578	-	4071
gene-LOC100679594	NC_045759.1	22511708	22523053	-	11346
gene-LOC100120847	NC_045759.1	22527782	22531839	-	4058
gene-LOC100120873	NC_045759.1	22531921	22534838	-	2918
gene-LOC100120898	NC_045759.1	22535922	22541280	+	5359
gene-LOC100114081	NC_045759.1	22541266	22545735	-	4470
gene-LOC100679663	NC_045759.1	22548237	22551640	+	3404
gene-LOC100679703	NC_045759.1	22551934	22556060	-	4127
gene-LOC100120973	NC_045759.1	22567187	22570753	+	3567
gene-LOC100120997	NC_045759.1	22570480	22574081	-	3602
gene-LOC100121020	NC_045759.1	22574183	22575734	-	1552
gene-LOC100121045	NC_045759.1	22575616	22578548	+	2933
gene-LOC116416919	NC_045759.1	22578312	22581003	-	2692
gene-LOC100679863	NC_045759.1	22595483	22620847	+	25365
gene-LOC100121093	NC_045759.1	22666095	22674536	-	8442
gene-LOC100121119	NC_045759.1	22674780	22676970	-	2191
gene-LOC100121143	NC_045759.1	22677466	22689381	-	11916
gene-LOC100121165	NC_045759.1	22689620	22721504	-	31885
gene-LOC100679737	NC_045759.1	22721709	22727174	+	5466
gene-LOC100121211	NC_045759.1	22727340	22734098	+	6759
gene-LOC100121232	NC_045759.1	22734313	22736465	+	2153
gene-LOC100121257	NC_045759.1	22736461	22783805	-	47345
gene-LOC107980872	NC_045759.1	22774342	22777806	+	3465
gene-LOC100114116	NC_045759.1	22784057	22787076	+	3020
gene-LOC100121273	NC_045759.1	22787157	22789783	-	2627
gene-LOC100121297	NC_045759.1	22794400	22803410	+	9011
gene-LOC100121316	NC_045759.1	22805192	22811602	+	6411
gene-LOC100679837	NC_045759.1	22810379	22817123	-	6745
gene-LOC100121335	NC_045759.1	22817340	22828640	-	11301
gene-LOC103316150	NC_045759.1	22831815	22846724	-	14910
gene-LOC100118028	NC_045759.1	22866648	22872125	+	5478
gene-Or264	NC_045759.1	22872928	22875084	+	2157
gene-Or265	NC_045759.1	22875174	22877916	+	2743
gene-LOC100118247	NC_045759.1	22880662	22960448	+	79787
gene-LOC107980824	NC_045759.1	22906885	22908735	-	1851
gene-LOC100118289	NC_045759.1	22961098	22981397	-	20300
gene-LOC100678315	NC_045759.1	22976103	22977597	+	1495
gene-LOC100118365	NC_045759.1	22977847	22980680	+	2834
gene-LOC100118400	NC_045759.1	22981729	23009701	-	27973
gene-LOC100118437	NC_045759.1	23009789	23014431	+	4643
gene-LOC100118477	NC_045759.1	23013806	23029329	-	15524
gene-Uqcr10	NC_045759.1	23028781	23031245	+	2465
gene-LOC100118515	NC_045759.1	23030595	23033467	-	2873
gene-LOC100118552	NC_045759.1	23032950	23037062	+	4113
gene-LOC100118623	NC_045759.1	23038869	23061885	-	23017
gene-LOC100118660	NC_045759.1	23063515	23067871	-	4357
gene-LOC100118694	NC_045759.1	23072709	23080747	-	8039
gene-LOC100118736	NC_045759.1	23085750	23094911	+	9162
gene-LOC100118773	NC_045759.1	23095258	23100684	+	5427
gene-LOC100678857	NC_045759.1	23100870	23102613	-	1744
gene-LOC100118848	NC_045759.1	23102962	23113735	-	10774
gene-LOC100677814	NC_045759.1	23115664	23116707	-	1044
gene-LOC100118913	NC_045759.1	23116837	23127145	-	10309
gene-LOC100118948	NC_045759.1	23127285	23130732	+	3448
gene-LOC100680227	NC_045759.1	23130141	23133063	-	2923
gene-LOC100677969	NC_045759.1	23133225	23137848	-	4624
gene-LOC100116753	NC_045759.1	23138456	23141980	+	3525
gene-LOC100119027	NC_045759.1	23142014	23145142	-	3129
gene-LOC100119093	NC_045759.1	23145596	23159461	-	13866
gene-LOC100677874	NC_045759.1	23149498	23155742	+	6245
gene-LOC100679205	NC_045759.1	23157482	23159291	+	1810
gene-LOC100119166	NC_045759.1	23159496	23162695	+	3200
gene-LOC100677943	NC_045759.1	23162179	23165572	-	3394
gene-LOC100313523	NC_045759.1	23165464	23170148	+	4685
gene-LOC100680012	NC_045759.1	23170136	23171265	-	1130
gene-LOC107980828	NC_045759.1	23171425	23173357	-	1933
gene-LOC100119343	NC_045759.1	23173661	23180292	-	6632
gene-LOC100677859	NC_045759.1	23180672	23185626	+	4955
gene-LOC100119413	NC_045759.1	23185581	23189107	-	3527
gene-LOC100119451	NC_045759.1	23189204	23195260	-	6057
gene-LOC100678254	NC_045759.1	23195447	23196784	-	1338
gene-Gadd45gip1	NC_045759.1	23197199	23198529	+	1331
gene-LOC100119545	NC_045759.1	23198614	23206692	-	8079
gene-LOC100119583	NC_045759.1	23206852	23217058	+	10207
gene-LOC100119625	NC_045759.1	23215590	23220456	-	4867
gene-LOC100119665	NC_045759.1	23220142	23222710	+	2569
gene-LOC100119701	NC_045759.1	23221820	23225469	-	3650
gene-LOC100119757	NC_045759.1	23225594	23228728	+	3135
gene-LOC100680235	NC_045759.1	23228666	23235069	-	6404
gene-LOC100119861	NC_045759.1	23235194	23275015	+	39822
gene-LOC107980827	NC_045759.1	23243797	23245776	-	1980
gene-LOC103316117	NC_045759.1	23246617	23248327	-	1711
gene-LOC107980829	NC_045759.1	23258927	23261985	+	3059
gene-LOC100119956	NC_045759.1	23275005	23281206	-	6202
gene-LOC100119984	NC_045759.1	23278295	23293541	+	15247
gene-LOC100120019	NC_045759.1	23293873	23299293	+	5421
gene-LOC100120054	NC_045759.1	23299475	23306183	-	6709
gene-LOC103316151	NC_045759.1	23307745	23313709	-	5965
gene-Smc1a	NC_045759.1	23314047	23320826	-	6780
gene-LOC100116814	NC_045759.1	23319794	23322806	+	3013
gene-LOC100116843	NC_045759.1	23322749	23325166	-	2418
gene-LOC100120150	NC_045759.1	23324880	23328558	+	3679
gene-LOC100120179	NC_045759.1	23328713	23345738	-	17026
gene-LOC103316118	NC_045759.1	23345777	23350429	+	4653
gene-LOC100116874	NC_045759.1	23351899	23353771	+	1873
gene-LOC100678166	NC_045759.1	23354128	23357653	+	3526
gene-Or298	NC_045759.1	23358422	23360004	-	1583
gene-LOC100120322	NC_045759.1	23360637	23433370	+	72734
gene-LOC103316126	NC_045759.1	23393017	23394715	-	1699
gene-LOC100120507	NC_045759.1	23434659	23502598	+	67940
gene-LOC116416961	NC_045759.1	23437409	23444349	+	6941
gene-LOC116738546	NC_045759.1	23466633	23468397	+	1765
gene-LOC100677990	NC_045759.1	23468585	23471364	+	2780
gene-LOC116738545	NC_045759.1	23474962	23477581	+	2620
gene-LOC103316120	NC_045759.1	23483269	23485725	+	2457
gene-LOC116738544	NC_045759.1	23496140	23500156	-	4017
gene-LOC107980454	NC_045759.1	23505384	23511632	-	6249
gene-LOC100120705	NC_045759.1	23511908	23524380	-	12473
gene-LOC116738540	NC_045759.1	23511976	23515202	-	3227
gene-LOC116416962	NC_045759.1	23517594	23528265	+	10672
gene-LOC100120718	NC_045759.1	23528557	23532102	-	3546
gene-LOC100120738	NC_045759.1	23532889	23536476	-	3588
gene-LOC100120762	NC_045759.1	23536592	23538612	+	2021
gene-LOC100120785	NC_045759.1	23538714	23707047	-	168334
gene-LOC100120828	NC_045759.1	23707364	23709081	+	1718
gene-LOC100120854	NC_045759.1	23709069	23710808	-	1740
gene-LOC100120878	NC_045759.1	23710762	23714619	+	3858
gene-LOC100120905	NC_045759.1	23714919	23726621	+	11703
gene-CYP4AB8	NC_045759.1	23726617	23729688	-	3072
gene-LOC112939937	NC_045759.1	23730204	23733351	-	3148
gene-LOC100120979	NC_045759.1	23733460	23740414	-	6955
gene-LOC100121004	NC_045759.1	23740414	23743351	-	2938
gene-LOC100121025	NC_045759.1	23743968	23751550	-	7583
gene-Uqcrh	NC_045759.1	23752033	23752893	+	861
gene-LOC100121053	NC_045759.1	23753601	23761650	-	8050
gene-LOC100121075	NC_045759.1	23761695	23765371	+	3677
gene-LOC100678587	NC_045759.1	23765429	23767865	+	2437
gene-GRD	NC_045759.1	23768146	23775798	-	7653
gene-LOC103316131	NC_045759.1	23771498	23774736	+	3239
gene-LOC100116955	NC_045759.1	23779344	23781675	+	2332
gene-LOC100121172	NC_045759.1	23785162	23792763	+	7602
gene-LOC100121192	NC_045759.1	23792710	23811163	-	18454
gene-LOC100121216	NC_045759.1	23807818	23813446	+	5629
gene-LOC100679027	NC_045759.1	23813440	23815497	-	2058
gene-LOC100121239	NC_045759.1	23815576	23821806	+	6231
gene-LOC100121261	NC_045759.1	23821792	23823292	-	1501
gene-LOC100121279	NC_045759.1	23823386	23830823	+	7438
gene-LOC100121300	NC_045759.1	23831469	23856523	-	25055
gene-LOC100121319	NC_045759.1	23860934	23864968	+	4035
gene-LOC103316152	NC_045759.1	23865045	23867824	+	2780
gene-LOC100679236	NC_045759.1	23868032	23880039	+	12008
gene-LOC100121377	NC_045759.1	23880232	23883640	+	3409
gene-LOC100679289	NC_045759.1	23883556	23884386	-	831
gene-LOC100121431	NC_045759.1	23884317	23887965	+	3649
gene-LOC100121450	NC_045759.1	23888219	23896871	-	8653
gene-LOC100121469	NC_045759.1	23896962	23900127	+	3166
gene-GstS6	NC_045759.1	23900116	23901142	-	1027
gene-GstS5	NC_045759.1	23901380	23902872	-	1493
gene-LOC100121505	NC_045759.1	23903890	23927983	-	24094
gene-LOC100121522	NC_045759.1	23927983	23931916	+	3934
gene-LOC100121543	NC_045759.1	23931914	23939507	-	7594
gene-LOC100121557	NC_045759.1	23939808	23942893	-	3086
gene-LOC100678753	NC_045759.1	23942973	23952869	+	9897
gene-LOC100121597	NC_045759.1	23952874	23955153	-	2280
gene-LOC100121633	NC_045759.1	23954205	23971252	+	17048
gene-LOC100117027	NC_045759.1	23971308	23977896	-	6589
gene-LOC103315286	NC_045759.1	23971308	23974784	-	3477
gene-LOC100121650	NC_045759.1	23975829	23986160	+	10332
gene-LOC100117107	NC_045759.1	23986146	23989480	-	3335
gene-LOC100121668	NC_045759.1	23989604	23999255	+	9652
gene-LOC107980819	NC_045759.1	24000057	24001876	-	1820
gene-LOC107980965	NC_045759.1	24000514	24003714	+	3201
gene-LOC100121718	NC_045759.1	24003107	24007528	-	4422
gene-LOC100679849	NC_045759.1	24007876	24010226	-	2351
gene-LOC100121755	NC_045759.1	24010356	24015991	-	5636
gene-LOC100678964	NC_045759.1	24018041	24020298	+	2258
gene-LOC100121793	NC_045759.1	24020417	24022785	+	2369
gene-LOC100121810	NC_045759.1	24022703	24029520	-	6818
gene-LOC107980885	NC_045759.1	24029634	24032554	-	2921
gene-LOC100121862	NC_045759.1	24032609	24040656	-	8048
gene-LOC100121876	NC_045759.1	24040772	24044260	+	3489
gene-LOC100121892	NC_045759.1	24043223	24046916	-	3694
gene-LOC100121910	NC_045759.1	24046047	24051881	+	5835
gene-LOC100121941	NC_045759.1	24051785	24055558	-	3774
gene-Atp5o	NC_045759.1	24055996	24057323	+	1328
gene-LOC100121959	NC_045759.1	24057333	24062529	-	5197
gene-LOC100121979	NC_045759.1	24063126	24072435	+	9310
gene-LOC100121995	NC_045759.1	24074450	24079291	-	4842
gene-LOC100678599	NC_045759.1	24078854	24080864	-	2011
gene-LOC100122069	NC_045759.1	24079284	24097126	+	17843
gene-LOC100678794	NC_045759.1	24080944	24085552	-	4609
gene-LOC100678316	NC_045759.1	24085006	24090429	-	5424
gene-LOC100122085	NC_045759.1	24096914	24106180	-	9267
gene-LOC100122103	NC_045759.1	24106287	24109898	-	3612
gene-LOC100122120	NC_045759.1	24109178	24112025	+	2848
gene-LOC100122132	NC_045759.1	24111844	24117953	-	6110
gene-LOC100122146	NC_045759.1	24118121	24122774	-	4654
gene-LOC100122160	NC_045759.1	24122801	24126900	+	4100
gene-LOC100122173	NC_045759.1	24125115	24132644	-	7530
gene-LOC100122188	NC_045759.1	24136085	24142222	-	6138
gene-LOC100122218	NC_045759.1	24141239	24150928	+	9690
gene-LOC100122233	NC_045759.1	24150924	24166518	-	15595
gene-LOC100117184	NC_045759.1	24169186	24173616	+	4431
gene-LOC100117222	NC_045759.1	24173617	24181224	-	7608
gene-LOC100122258	NC_045759.1	24182640	24192838	+	10199
gene-LOC100117257	NC_045759.1	24193860	24196213	-	2354
gene-LOC100122273	NC_045759.1	24195838	24198933	+	3096
gene-Atp5g2	NC_045759.1	24199094	24203389	-	4296
gene-LOC100122288	NC_045759.1	24203555	24206557	+	3003
gene-LOC100117338	NC_045759.1	24207794	24224998	-	17205
gene-LOC100117372	NC_045759.1	24224847	24227503	+	2657
gene-LOC100117401	NC_045759.1	24227374	24233368	-	5995
gene-LOC100122303	NC_045759.1	24233250	24236639	+	3390
gene-Or156	NC_045759.1	24237108	24240156	+	3049
gene-LOC100679315	NC_045759.1	24240379	24243545	-	3167
gene-LOC100122323	NC_045759.1	24243021	24246410	+	3390
gene-LOC100122339	NC_045759.1	24247046	24263048	-	16003
gene-LOC100117441	NC_045759.1	24264088	24269985	+	5898
gene-LOC100680191	NC_045759.1	24266590	24267788	-	1199
gene-LOC107980869	NC_045759.1	24269694	24271995	-	2302
gene-LOC103316137	NC_045759.1	24273808	24279018	+	5211
gene-LOC100122354	NC_045759.1	24279021	24292730	+	13710
gene-LOC100122369	NC_045759.1	24292382	24295759	-	3378
gene-LOC100122385	NC_045759.1	24295847	24307532	+	11686
gene-LOC100122400	NC_045759.1	24307947	24321203	-	13257
gene-LOC100680116	NC_045759.1	24309758	24312181	+	2424
gene-LOC100122427	NC_045759.1	24311262	24314116	-	2855
gene-LOC100117485	NC_045759.1	24312827	24314414	+	1588
gene-LOC100122466	NC_045759.1	24321303	24371656	+	50354
gene-LOC103316149	NC_045759.1	24355657	24362320	-	6664
gene-LOC100122477	NC_045759.1	24373366	24379210	-	5845
gene-LOC100122487	NC_045759.1	24376910	24383118	+	6209
gene-LOC100122498	NC_045759.1	24383107	24392482	-	9376
gene-LOC100122521	NC_045759.1	24393635	24398458	+	4824
gene-LOC100117525	NC_045759.1	24398365	24401800	-	3436
gene-LOC100117562	NC_045759.1	24402019	24403355	-	1337
gene-LOC100122535	NC_045759.1	24403545	24421649	-	18105
gene-LOC116416944	NC_045759.1	24421606	24423803	+	2198
gene-LOC100122556	NC_045759.1	24424423	24426435	+	2013
gene-LOC100122569	NC_045759.1	24426240	24437034	-	10795
gene-LOC100122582	NC_045759.1	24430538	24432396	+	1859
gene-LOC100677978	NC_045759.1	24436492	24441518	+	5027
gene-LOC100122617	NC_045759.1	24442053	24446119	-	4067
gene-LOC100679520	NC_045759.1	24446305	24447976	-	1672
gene-LOC100122641	NC_045759.1	24448193	24452012	-	3820
gene-LOC100679586	NC_045759.1	24455838	24490178	-	34341
gene-LOC100117603	NC_045759.1	24490269	24493097	+	2829
gene-LOC100122688	NC_045759.1	24493173	24495245	-	2073
gene-LOC100117646	NC_045759.1	24495330	24496488	+	1159
gene-LOC100122698	NC_045759.1	24496395	24510556	-	14162
gene-LOC100122708	NC_045759.1	24528596	24535154	-	6559
gene-LOC100117685	NC_045759.1	24536166	24537823	+	1658
gene-LOC100122719	NC_045759.1	24538033	24540189	-	2157
gene-LOC100122728	NC_045759.1	24540204	24543639	+	3436
gene-LOC100122738	NC_045759.1	24542844	24546533	-	3690
gene-LOC100122748	NC_045759.1	24547183	24555602	+	8420
gene-LOC100117728	NC_045759.1	24555744	24564718	-	8975
gene-LOC100122758	NC_045759.1	24558418	24563311	+	4894
gene-LOC100117764	NC_045759.1	24563500	24566826	+	3327
gene-LOC100679652	NC_045759.1	24568005	24570664	+	2660
gene-LOC100117805	NC_045759.1	24570780	24573041	+	2262
gene-LOC100122774	NC_045759.1	24572900	24582778	-	9879
gene-LOC100117839	NC_045759.1	24584073	24586542	-	2470
gene-LOC100122794	NC_045759.1	24587186	24592370	+	5185
gene-LOC100122806	NC_045759.1	24592364	24594751	-	2388
gene-LOC100122819	NC_045759.1	24594802	24597462	+	2661
gene-LOC100122832	NC_045759.1	24597379	24600450	-	3072
gene-LOC100122844	NC_045759.1	24600626	24606095	+	5470
gene-LOC100122854	NC_045759.1	24606083	24607896	-	1814
gene-LOC100122862	NC_045759.1	24608060	24610451	-	2392
gene-LOC100122877	NC_045759.1	24610776	24626625	+	15850
gene-LOC116416981	NC_045759.1	24628841	24641482	+	12642
gene-LOC100122886	NC_045759.1	24643865	24645888	+	2024
gene-LOC100122900	NC_045759.1	24646008	24648191	-	2184
gene-LOC100122908	NC_045759.1	24647358	24650122	+	2765
gene-LOC100122918	NC_045759.1	24650245	24652588	+	2344
gene-LOC116738547	NC_045759.1	24652716	24654543	+	1828
gene-LOC100122926	NC_045759.1	24654753	24655690	+	938
gene-LOC116416956	NC_045759.1	24655829	24657059	-	1231
gene-LOC100122937	NC_045759.1	24656300	24664108	+	7809
gene-LOC100122948	NC_045759.1	24663927	24676246	-	12320
gene-LOC100122958	NC_045759.1	24676337	24684992	+	8656
gene-LOC116416957	NC_045759.1	24684755	24686115	-	1361
gene-LOC100463145	NC_045759.1	24686362	24689742	+	3381
gene-LOC100122977	NC_045759.1	24691646	24698617	+	6972
gene-LOC100122985	NC_045759.1	24698712	24704628	-	5917
gene-LOC100117921	NC_045759.1	24706561	24707698	-	1138
gene-LOC100122996	NC_045759.1	24708082	24716635	+	8554
gene-LOC100679451	NC_045759.1	24716625	24718672	-	2048
gene-LOC103316145	NC_045759.1	24718252	24719029	+	778
gene-LOC100123015	NC_045759.1	24719605	24721390	-	1786
gene-LOC100123026	NC_045759.1	24721290	24729948	-	8659
gene-LOC103316147	NC_045759.1	24730821	24732078	-	1258
gene-LOC103316146	NC_045759.1	24731481	24732254	+	774
gene-LOC100123039	NC_045759.1	24732111	24735380	-	3270
gene-LOC100117959	NC_045759.1	24734224	24736618	+	2395
gene-Moca-cyp	NC_045759.1	24736609	24738263	-	1655
gene-LOC116416927	NC_045759.1	24744835	24748926	-	4092
gene-LOC116416926	NC_045759.1	24749668	24753522	+	3855
gene-LOC116415722	NC_045759.1	24754592	24756921	+	2330
gene-LOC100680356	NW_022279620.1	103888	314467	+	210580
gene-LOC116416616	NW_022279620.1	137422	137911	-	490
gene-LOC116416612	NW_022279620.1	226384	229947	-	3564
gene-LOC116416613	NW_022279620.1	231121	232753	-	1633
gene-LOC116416615	NW_022279620.1	234627	235873	-	1247
gene-LOC116416614	NW_022279620.1	241954	243200	-	1247
gene-LOC107981994	NW_022279620.1	280425	286818	+	6394
gene-LOC100116508	NW_022279620.1	367088	429004	-	61917
gene-LOC107981826	NW_022279620.1	434519	435859	-	1341
gene-LOC116416617	NW_022279620.1	440750	441580	-	831
gene-LOC100113793	NW_022279620.1	487025	487631	+	607
gene-LOC116416619	NW_022279620.1	498079	501726	-	3648
gene-LOC116416618	NW_022279620.1	500208	501844	-	1637
gene-LOC116416623	NW_022279621.1	6685	8341	-	1657
gene-LOC116416622	NW_022279621.1	8638	10771	+	2134
gene-LOC116416624	NW_022279621.1	11079	14223	-	3145
gene-LOC100679968	NW_022279621.1	21619	319449	+	297831
gene-LOC116416621	NW_022279621.1	82010	83725	+	1716
gene-LOC116416620	NW_022279621.1	228310	233609	+	5300
gene-LOC116416625	NW_022279621.1	339441	341663	+	2223
gene-LOC116416627	NW_022279621.1	344009	345784	-	1776
gene-LOC116416626	NW_022279621.1	347873	348331	+	459
gene-LOC107981660	NW_022279621.1	372656	385549	-	12894
gene-LOC100116562	NW_022279622.1	148136	240437	-	92302
gene-LOC107981495	NW_022279622.1	243500	244292	-	793
gene-LOC107981496	NW_022279622.1	244635	247111	-	2477
gene-LOC100116669	NW_022279622.1	259029	352513	+	93485
gene-LOC100679516	NW_022279623.1	34365	46982	-	12618
